"id","station_name","country_id","region_id","address","phone"
"159","Кошице","4","1000","33 Transport Point","(979) 7516444"
"160","Кошице Предместя","4","1000","536 Bluestem Alley","(702) 9788846"
"161","Красна Над Хорнадом","1","6","471 Dorton Court","(599) 7433497"
"162","Нижня Мюсла","9","1000","83022 Darwin Center","(343) 5933425"
"163","Висна Мюсла","9","1000","279 Columbus Trail","(953) 9698214"
"164","Бохдановице","9","1000","60110 Fairview Trail","(477) 2186973"
"165","Русков","9","1000","54841 Rowland Terrace","(546) 1978922"
"166","Сланець","9","1000","473 Bluejay Crossing","(907) 9885668"
"167","Кальша","9","1000","3 Lyons Drive","(810) 9529615"
"168","Кузмиче","9","1000","21572 Meadow Ridge Lane","(397) 7409939"
"169","Михалани","9","1000","77 Grayhawk Avenue","(848) 5624713"
"170","Чергов","9","1000","9 Talisman Parkway","(268) 5009151"
"171","Словенске Нове Мєсто","9","1000","87 Pankratz Road","(170) 7029909"
"172","Борша","9","1000","3243 Jana Drive","(954) 3688455"
"173","Стреда над Бодрогом","9","1000","8115 Cardinal Plaza","(209) 6115783"
"174","Сомотор","3","1000","476 Brentwood Terrace","(344) 1788524"
"175","Велки Хорес","3","1000","748 Johnson Circle","(342) 5669376"
"176","Прибеник","3","1000","14 Muir Drive","(661) 8182013"
"177","Добра","3","1000","7387 Delladonna Court","(754) 5039335"
"178","Бієл","3","1000","1 Graceland Hill","(761) 1347382"
"179","Чиєрна Над Тисою","3","1000","52971 Menomonie Point","(587) 6708853"
"180","Бахмут","1","4","977 Merry Park","(760) 1015778"
"181","Сіль","1","4","2629 Sunbrook Court","(184) 2037043"
"182","Сіверськ","1","4","1231 Jackson Pass","(707) 4556023"
"183","Красний Лиман","1","4","916 Swallow Street","(762) 6639729"
"184","Святогірськ","1","4","25765 4th Point","(444) 9916019"
"185","Ізюм","1","19","7 Schmedeman Avenue","(287) 7688834"
"186","Балаклія","1","19","195 Truax Park","(782) 5783299"
"187","Полтава-Киівська","1","15","23045 Fisk Way","(212) 3003700"
"188","Яреськи","1","15","0 Butternut Crossing","(458) 4825706"
"189","Миргород","1","15","63502 Summit Plaza","(298) 5713601"
"190","Лубни","1","15","3 Shopko Drive","(923) 4934135"
"191","Гребінка","1","15","003 Forest Dale Alley","(755) 6910018"
"192","Бориспіль","1","9","4568 Sunfield Plaza","(446) 4568729"
"193","Житомир","1","5","9512 Harbort Trail","(705) 3069088"
"194","Білокоровичі","1","5","827 Ilene Court","(121) 6573808"
"195","Олевськ","1","5","16348 Kipling Street","(676) 6839475"
"196","Остки","1","16","77987 Eastwood Plaza","(111) 9487805"
"197","Рокитне-Волинське","1","9","2021 Goodland Circle","(440) 1852349"
"198","Томашгород","1","16","7056 Rieder Point","(815) 5961749"
"199","Клесів","1","16","10 Mayer Hill","(524) 3799301"
"200","Сарни","1","16","7958 Melvin Place","(191) 1843555"
"201","Антонівка","1","6","2076 Hansons Center","(849) 1230803"
"202","Рафалівка","1","16","94293 Heath Point","(541) 7362417"
"203","Вараш","1","16","168 Kinsman Parkway","(254) 4373696"
"204","Чарторийськ","1","2","0 Clove Avenue","(596) 2398685"
"205","Маневичі","1","2","20 Elka Place","(995) 1816897"
"206","Турійськ","1","2","854 Veith Plaza","(799) 2101487"
"207","Володимир-Волинскький","1","2","6 Cottonwood Place","(860) 4651889"
"208","Іваничі","1","2","73073 Golf Course Lane","(614) 7920320"
"209","Сокаль","1","12","7527 Maple Trail","(164) 1462295"
"210","Червоноград","1","12","838 Melrose Center","(581) 3799056"
"211","Соснівка","1","12","77407 Porter Court","(336) 5075897"
"212","Дрогобич","1","12","46 Moland Plaza","(803) 8799653"
"213","Трускавець","1","12","073 Jay Alley","(189) 4548559"
"214","Федорівка","1","16","5 Nelson Alley","(358) 5066540"
"215","Вроцлав Головний","4","1000","2 Goodland Place","(743) 5946003"
"216","Олава","4","1000","4539 Atwood Pass","(286) 1727185"
"217","Бжег","4","1000","3 Roth Place","(931) 5610881"
"218","Ополе Главна","4","1000","7 Eastwood Alley","(498) 7230608"
"219","Ченстохова","4","1000","026 Hoard Junction","(922) 2018656"
"220","Краків Головний","4","1000","762 Kedzie Crossing","(959) 3452510"
"221","Краків Плашув","4","1000","3 Columbus Alley","(582) 4725805"
"222","Бохня","4","1000","61 Westend Avenue","(651) 7031338"
"223","Бржеско Окоцим","4","1000","3 Quincy Court","(502) 9354473"
"224","Тарнов","4","1000","491 Steensland Hill","(746) 3216589"
"225","Дембица","4","1000","0995 Towne Street","(132) 9004443"
"226","Жешов","4","1000","263 Westridge Avenue","(516) 3425980"
"227","Ланьцут","4","1000","268 Center Lane","(205) 2109502"
"228","Пшеворск","4","1000","2 Susan Drive","(468) 8774870"
"229","Ярослав","4","1000","5 Clemons Pass","(978) 5878600"
"230","Перемишль-Засане","4","1000","32078 Glacier Hill Street","(403) 6828731"
"231","Зборів","1","18","0 North Alley","(852) 7301132"
"232","Кострино","1","6","646 Nova Street","(750) 3169369"
"233","Кременчук","1","15","87 Kenwood Alley","(759) 2309067"
"234","Глобине","1","15","31000 Kropf Place","(553) 4506752"
"235","Веселий Поділ","1","15","48176 6th Avenue","(196) 7767536"
"236","Хорол","1","15","67 Larry Alley","(139) 3323066"
"237","Ромодан","1","15","7136 Coleman Plaza","(416) 1955900"
"238","Браїлів","1","1","3442 Graceland Road","(953) 5540529"
"239","Надвірна","1","8","58 Hoard Junction","(489) 2421666"
"240","Полтава-Південна","1","15","8275 Northview Point","(383) 2644450"
"241","Мостиська-2","1","12","28 Dunning Place","(854) 8465320"
"242","Тщенець","4","1000","0 Fairview Way","(211) 2746439"
"243","Мостиська 1","1","12","9124 Golden Leaf Alley","(888) 5498800"
"244","Підгать","1","12","54 Clyde Gallagher Street","(533) 8184087"
"245","Арламівська Воля","1","12","2036 Acker Road","(184) 1706418"
"246","Хоросниця","1","12","624 Spenser Parkway","(446) 6638475"
"247","Заріччя(Берегове)","1","6","46 Scott Avenue","(508) 2434132"
"248","Судова Вишня","1","12","188 Vermont Center","(378) 9555859"
"249","Княжий Міст","1","12","120 Sycamore Center","(891) 3896094"
"250","Бар","1","1","972 Melby Center","(166) 2156608"
"251","Родатичі","1","12","107 Mccormick Crossing","(515) 6083664"
"252","Волчухи","1","12","18993 Dawn Lane","(793) 6902202"
"253","Братковичі","1","12","29587 Londonderry Park","(846) 7109779"
"254","Городок Львівський","1","12","7636 Fuller Way","(459) 1977804"
"255","Камянобрід","1","12","50 5th Road","(680) 8881624"
"256","Затока","1","14","207 Rockefeller Plaza","(325) 7675097"
"257","Цунів","1","12","9958 Thackeray Alley","(769) 4494258"
"258","Мшана","1","12","3 Calypso Circle","(123) 6516277"
"259","Суховоля","1","12","7554 Pleasure Point","(855) 4610233"
"260","Зимна Вода","1","12","2 Jenna Street","(650) 8268843"
"261","Рудне","1","12","11 Pennsylvania Center","(599) 4532140"
"262","5-й Парк","1","12","4 Scott Plaza","(447) 7980732"
"263","Пустомити","1","12","3 Beilfuss Place","(961) 2849220"
"264","Миколаїв-Дністровський","1","12","4251 Cascade Point","(746) 1163270"
"265","Гребенів","1","12","1 Gina Center","(112) 7164595"
"266","Тухля","1","12","884 Homewood Hill","(339) 4366250"
"267","Бескит","1","12","6 Schurz Street","(871) 9384867"
"268","Скотарське","1","6","3 Service Pass","(702) 2749914"
"269","Скнилів","1","12","61708 Texas Court","(889) 9882812"
"270","Щирець 2","1","12","19 Mallory Street","(904) 7181190"
"271","Щирець 1","1","12","4848 Delladonna Hill","(123) 1008118"
"272","Задорожна","1","12","18 Mayer Road","(313) 9056873"
"273","Пісочна","1","12","6225 Sutteridge Hill","(856) 6975914"
"274","Більче","1","12","51 Darwin Crossing","(123) 7128930"
"275","Нежухів","1","12","9 Hoepker Plaza","(522) 6558619"
"276","Райлів","1","12","228 Harper Point","(219) 5798561"
"277","Верхні Гаї","1","12","4 Towne Park","(911) 3953606"
"278","Болехівці","1","12","6685 Forest Run Court","(178) 7104406"
"279","Стебник","1","12","25 Graedel Avenue","(794) 6311151"
"280","Рава Руська","1","12","984 Lighthouse Bay Junction","(370) 1329532"
"281","Лужки","1","8","23 Claremont Court","(373) 3585896"
"282","Липник","1","12","479 Carioca Plaza","(721) 3332296"
"283","Мощана","1","12","9702 Manufacturers Avenue","(210) 4621227"
"284","Лавриків","1","12","7789 Jana Trail","(408) 4166725"
"285","Панчишини","1","12","28 Ridgeway Trail","(803) 6570151"
"286","Добросин","1","12","20854 Kennedy Road","(903) 3794920"
"287","Заріччя","1","6","5 Grasskamp Pass","(350) 7268706"
"288","Глинсько","1","15","9 Di Loreto Drive","(176) 7772013"
"289","Жовква","1","12","6902 Kenwood Point","(245) 4679919"
"290","Мацошин","1","12","01425 Vera Pass","(421) 1987247"
"291","Куликів","1","12","9626 Burning Wood Place","(659) 1858045"
"292","Зашків","1","12","19451 Buena Vista Circle","(579) 4926089"
"293","Завадів","1","12","77 Independence Alley","(792) 8177312"
"294","Брюховичі","1","12","84 Northridge Plaza","(671) 5982330"
"295","Рясна","1","12","87 Hooker Pass","(506) 8468684"
"296","Батарівка","1","12","15017 Nevada Alley","(774) 1818715"
"297","Клепарів","1","12","254 David Pass","(802) 6360363"
"298","Бенькове","1","12","509 Chinook Circle","(773) 3556981"
"299","Соколики","1","12","92 Roxbury Drive","(460) 9672513"
"300","Турочки","4","1000","99683 Magdeline Parkway","(879) 1549501"
"301","Яблонка","4","1000","0 Heffernan Court","(431) 7695625"
"302","Нижня Яблунька","1","12","538 Roxbury Junction","(869) 7698292"
"303","Явора","1","12","62 Larry Road","(766) 9711924"
"304","123 Км","1","12","39 Shelley Place","(697) 1254323"
"305","Бойківська","1","12","6 Saint Paul Pass","(979) 7857846"
"306","Волосянка","1","12","7375 Waywood Point","(102) 9991772"
"307","Розлуч","1","12","7901 Derek Road","(702) 2171797"
"308","Ясениця","1","12","7404 1st Drive","(105) 1902618"
"309","Лопушанка","1","12","8122 Lakewood Park","(394) 8925963"
"310","Стрілки","1","12","60744 Corscot Street","(926) 6236551"
"311","Верхній Лужок","1","12","2 Stoughton Lane","(459) 9023902"
"312","Бусовисько","1","12","234 Maple Park","(436) 2630446"
"313","Терешів Спас","1","12","5327 Dunning Hill","(755) 9440235"
"314","Старий Самбір","1","12","2 Mallard Pass","(405) 6972945"
"315","Созань","1","12","3 Scoville Way","(887) 5215063"
"316","Турчиновичі","1","12","1692 Thierer Plaza","(315) 2196102"
"317","Ваньковичі","1","12","42353 Nobel Plaza","(836) 9464393"
"318","Стрілковичі","1","12","7735 Meadow Valley Avenue","(194) 9488398"
"319","63 Км","1","12","6392 5th Lane","(183) 2154043"
"320","Калинів","1","12","10953 Corry Terrace","(197) 8666406"
"321","Конюшки","1","8","214 Colorado Place","(524) 4669132"
"322","Луки","1","12","7934 Mosinee Parkway","(465) 2372191"
"323","Хлопчиці","1","12","5934 Fair Oaks Park","(162) 7929803"
"324","Новосілки","1","12","557 Dayton Parkway","(610) 5704961"
"325","Рудки","1","12","90122 Linden Terrace","(859) 3185907"
"326","39 Км","1","12","7 Westport Plaza","(126) 1567761"
"327","Коропуж","1","12","9 Kedzie Road","(208) 6020573"
"328","Хишевичі","1","12","65709 Homewood Place","(660) 3795309"
"329","Комарно","1","12","54151 Monterey Court","(450) 4007756"
"330","Порічне","1","12","833 Service Point","(699) 4761020"
"331","Любень-Великий","1","12","92578 Nova Place","(346) 6382344"
"332","Містки","1","12","32746 Hooker Park","(437) 6853946"
"333","Ставчани","1","12","40 Cambridge Court","(790) 3953100"
"334","Оброшин","1","12","72 Monterey Lane","(950) 4322643"
"335","Рудниця","1","1","1614 Butternut Park","(880) 1863531"
"336","Рахни","1","1","40 Summer Ridge Pass","(497) 8591097"
"337","Ясенівці","1","12","580 Macpherson Drive","(914) 3803143"
"338","Княже","1","12","31489 Eliot Circle","(184) 7639940"
"339","Скваржава","1","12","5736 Main Trail","(193) 4336538"
"340","Куткор","1","12","91 Golf Course Road","(216) 9431026"
"341","Полтва","1","12","09 Dakota Center","(268) 4115527"
"342","Задвіря","1","12","47 Springs Court","(772) 1793773"
"343","Полоничі","1","12","17 Loomis Junction","(529) 4053705"
"344","Залуги","1","12","6002 Kensington Avenue","(912) 2795090"
"345","Борщовичи","1","12","5274 Myrtle Point","(427) 1708302"
"346","1460 Км","1","12","43 Stuart Crossing","(958) 1779311"
"347","Підбірці","1","12","3079 Mcbride Center","(577) 4499988"
"348","Угерсько","1","12","75 Cody Road","(584) 8287015"
"349","Пятничани","1","12","968 Kenwood Parkway","(468) 2821871"
"350","Черкаси Львівські","1","12","85229 Duke Hill","(670) 8483514"
"351","Дмитрія","1","12","6 Meadow Ridge Hill","(360) 4685685"
"352","Семенівка","1","12","1047 Sherman Park","(448) 4357522"
"353","Глинна Наварія","1","12","90252 Superior Center","(449) 1598266"
"354","Вузлове","1","12","92555 Thompson Way","(976) 1042599"
"355","Воля-Холоївська","1","12","30 Division Street","(702) 1560680"
"356","Селець-Беньків","1","12","7 Arkansas Hill","(520) 3824284"
"357","Сапіжанка","1","12","7 Mallory Lane","(452) 3299407"
"358","Новий Став","1","12","7264 Larry Park","(401) 6958636"
"359","Колодне","1","6","142 Mcbride Park","(374) 9739757"
"360","Руданці","1","12","74642 Donald Drive","(330) 9215405"
"361","Запитів","1","12","0023 Warbler Pass","(317) 2734238"
"362","Дубляни-Львівські","1","12","0626 Waywood Plaza","(467) 9937108"
"363","Шкло-Старжиська","1","12","6501 Washington Parkway","(328) 4092397"
"364","Бодрість","1","12","520 Green Way","(338) 1684921"
"365","Янтарна","1","12","916 Shopko Circle","(495) 7848435"
"366","Молошковичі","1","12","89855 Acker Plaza","(360) 7793093"
"367","Добростани","1","12","99352 Mesta Drive","(536) 4834081"
"368","5 Км","1","12","6 Maple Pass","(858) 8948905"
"369","Рівне","1","16","665 Summit Terrace","(759) 7865314"
"370","Квасилів","1","16","4 Utah Hill","(710) 6023629"
"371","Миколи Приходька","1","16","48 Maple Wood Avenue","(722) 1902610"
"372","Глинськ","1","12","8 Prentice Circle","(474) 8196823"
"373","Ульбарів","1","12","397 Center Circle","(325) 7219369"
"374","128 Км","1","12","40 Texas Court","(673) 3657825"
"375","Озеряни","1","18","217 Moland Lane","(721) 1304478"
"376","Заруддя","1","18","20220 Sheridan Pass","(128) 3416499"
"377","Мокрів","1","16","1296 Harper Street","(198) 7740721"
"378","Мирогоща","1","16","606 Victoria Court","(829) 3611256"
"379","Камяниця-Волинська","1","16","969 Sommers Road","(927) 8812646"
"380","Підлужжя","1","16","3250 Cardinal Junction","(690) 2103438"
"381","Птича","1","16","5 Brickson Park Park","(924) 6636499"
"382","Верба","1","16","776 Bluejay Junction","(233) 6956026"
"383","Турки","1","16","6653 Orin Lane","(141) 7850812"
"384","Рудня-Почаївська","1","16","12 Waxwing Way","(751) 6786473"
"385","Гаї Ситенські","1","16","1251 Hintze Terrace","(606) 2271237"
"386","Михайлівка","1","16","4722 Helena Street","(759) 4211188"
"387","58 Км","1","16","4 Village Lane","(976) 1014802"
"388","Пониковиця","1","12","8 Vidon Junction","(790) 8193370"
"389","Заболотці","1","12","5 Moulton Lane","(948) 4872052"
"390","Кути","1","8","808 Red Cloud Drive","(180) 9572726"
"391","Ожидів-Олесько","1","12","29 Clyde Gallagher Avenue","(261) 3652855"
"392","Закомаря","1","12","216 Forest Parkway","(930) 5762834"
"393","Петричі","1","12","80 North Road","(536) 6579622"
"394","Утишків","1","12","1 Lillian Road","(346) 7760014"
"395","Чорний Острів","1","21","310 Graceland Lane","(390) 1074451"
"396","Бориничі","1","12","168 Hintze Trail","(844) 6072592"
"397","Борусів","1","12","07814 Moose Point","(378) 8727662"
"398","Вибранівка","1","12","4506 Westerfield Road","(625) 1339022"
"399","Платформа 40 Км","2","1000","37854 La Follette Crossing","(231) 5632208"
"400","Глібовичі","1","12","47 Graedel Point","(646) 9049013"
"401","33 Км","1","12","3603 Debra Junction","(432) 6939825"
"402","Підмонастир","1","12","8 Corscot Hill","(907) 3697877"
"403","Будьків","1","12","390 Northport Parkway","(645) 8650301"
"404","Старе Село","1","12","7 Summer Ridge Crossing","(341) 5358523"
"405","22 Км","1","12","32 Buhler Trail","(874) 8189726"
"406","Давидів","1","12","1 Fallview Center","(733) 8546721"
"407","Сихів","1","12","544 Bunting Street","(889) 1517949"
"408","Зубрівська","1","12","56 Gateway Crossing","(419) 6908133"
"409","Персенківка","1","12","0 Heffernan Center","(334) 9997906"
"410","Коновальця","1","12","7 Upham Center","(327) 1869607"
"411","Городоцька","1","12","0631 Fieldstone Drive","(233) 6711749"
"412","Херсон","1","20","86 Old Shore Alley","(676) 6956531"
"413","Миколаїв-Пас.","1","13","9799 Westerfield Park","(405) 6153897"
"414","Явкине","1","13","79 Rutledge Trail","(767) 7093481"
"415","Новий Буг","1","13","58187 Redwing Road","(778) 3950808"
"416","Казанка","1","13","1683 Farmco Circle","(125) 6656889"
"417","Долинська","1","10","8 Melvin Parkway","(284) 2653132"
"418","Куцівка","1","22","58728 Reinke Circle","(861) 3607143"
"419","Чорноліська","1","10","5631 Hayes Drive","(571) 6174883"
"420","Апостолове","1","3","8777 Graedel Junction","(895) 4400078"
"421","Кривий Ріг-Головний","1","3","5 Rusk Pass","(178) 1389090"
"422","Білин","1","6","68 Rieder Park","(627) 2890796"
"423","Букачівці","1","8","78372 Pine View Terrace","(611) 1401705"
